,Var1,Freq,Type,ICTV
1,Ackermannviridae,70,dsDNA,TRUE
2,Adenoviridae,281,dsDNA,TRUE
3,Adomaviridae,2,dsDNA,FALSE
4,Aliusviridae,2,ssRNA(-),TRUE
5,Alloherpesviridae,16,dsDNA,TRUE
6,Alphaflexiviridae,116,ssRNA(+),TRUE
7,Alphasatellitidae,131,ssRNA,TRUE
8,Alphatetraviridae,10,ssRNA(+),TRUE
9,Alvernaviridae,1,ssRNA(+),TRUE
10,Amalgaviridae,28,dsRNA,TRUE
11,Amnoonviridae,5,ssRNA(-),TRUE
12,Ampullaviridae,3,dsDNA,TRUE
13,Anelloviridae,148,ssDNA(-),TRUE
14,Arenaviridae,81,ssRNA(+/-),TRUE
15,Arteriviridae,39,ssRNA(+),TRUE
16,Artoviridae,4,ssRNA(-),TRUE
17,Ascoviridae,9,dsDNA,TRUE
18,Asfarviridae,9,dsDNA,TRUE
19,Aspiviridae,14,ssRNA(-),TRUE
20,Astroviridae,212,ssRNA(+),TRUE
21,Autographiviridae,395,dsDNA,TRUE
22,Autolykiviridae,5,dsDNA,TRUE
23,Avsunviroidae,5,ssRNA,TRUE
24,Bacilladnaviridae,6,ssDNA,TRUE
25,Baculoviridae,120,dsDNA,TRUE
26,Barnaviridae,2,ssRNA(+),TRUE
27,Benyviridae,15,ssRNA(+),TRUE
28,Betaflexiviridae,195,ssRNA(+),TRUE
29,Bicaudaviridae,7,dsDNA,TRUE
30,Bidnaviridae,2,ssDNA,TRUE
31,Birnaviridae,18,dsRNA,TRUE
32,Bornaviridae,35,ssRNA(-),TRUE
33,Botourmiaviridae,18,ssRNA(+),TRUE
34,Bromoviridae,135,ssRNA(+),TRUE
35,Bunyavirales,5,ssRNA,TRUE
36,Caliciviridae,487,ssRNA(+),TRUE
37,Carmotetraviridae,1,ssRNA(+),TRUE
38,Caudovirales,4,dsDNA,TRUE
39,Caulimoviridae,136,dsDNA-RT,TRUE
40,Chaseviridae,14,dsDNA,TRUE
41,Chrysoviridae,32,dsRNA,TRUE
42,Chuviridae,27,ssRNA(-),TRUE
43,Circoviridae,252,ssDNA(+/-),TRUE
44,Clavaviridae,1,dsDNA,TRUE
45,Closteroviridae,96,ssRNA(+),TRUE
46,Coronaviridae,307,ssRNA(+),TRUE
47,Corticoviridae,5,dsDNA,TRUE
48,Cremegaviridae,2,ssRNA(+),TRUE
49,Cruciviridae,1,ssDNA*,FALSE
50,Curvulaviridae,4,dsRNA,TRUE
51,Cystoviridae,7,dsRNA,TRUE
52,Deltaflexiviridae,7,ssRNA(+),TRUE
